anime_id,Name,English name,Score,Genres,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
51,Tenshi Kinryouku,Angel Sanctuary,6.27,"Action, Drama, Romance, Supernatural",OVA,3,"May 25, 2000 to Aug 25, 2000",UNKNOWN,Finished Airing,"Bandai Visual, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,29 min per ep,R+ - Mild Nudity,7564,2958,182,26701,48258,https://cdn.myanimelist.net/images/anime/11/45208.jpg
52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,26,"Apr 1, 2001 to Sep 23, 2001",spring 2001,Finished Airing,"Dentsu, TV Tokyo Music","ADV Films, Sentai Filmworks",Bones,Manga,24 min per ep,PG-13 - Teens 13 or older,2727,2707,291,28552,57259,https://cdn.myanimelist.net/images/anime/1192/113699.jpg
53,Ai Yori Aoshi,Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,24,"Apr 11, 2002 to Sep 26, 2002",spring 2002,Finished Airing,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min per ep,PG-13 - Teens 13 or older,3471,1839,447,52942,108460,https://cdn.myanimelist.net/images/anime/7/10172.jpg
54,Appleseed (Movie),UNKNOWN,7.06,"Action, Drama, Sci-Fi",Movie,1,"Apr 17, 2004",UNKNOWN,Finished Airing,"Mainichi Broadcasting System, Toho, TYO Animations, TYO","Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,1 hr 45 min,R - 17+ (violence & profanity),3723,2370,170,41210,72186,https://cdn.myanimelist.net/images/anime/9/57231.jpg
55,Arc the Lad,UNKNOWN,6.51,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,"Apr 5, 1999 to Oct 11, 1999",spring 1999,Finished Airing,"Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",ADV Films,Bee Train,Game,22 min per ep,R - 17+ (violence & profanity),6294,5012,14,5911,16013,https://cdn.myanimelist.net/images/anime/3/49041.jpg
56,Avenger,UNKNOWN,5.86,"Adventure, Fantasy, Sci-Fi",TV,13,"Oct 2, 2003 to Dec 25, 2003",fall 2003,Finished Airing,Yomiko Advertising,Bandai Entertainment,Bee Train,Original,24 min per ep,R - 17+ (violence & profanity),9454,4856,20,6788,17396,https://cdn.myanimelist.net/images/anime/13/19921.jpg
57,Beck,Beck: Mongolian Chop Squad,8.29,"Comedy, Drama, Slice of Life",TV,26,"Oct 7, 2004 to Mar 31, 2005",fall 2004,Finished Airing,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,25 min per ep,R - 17+ (violence & profanity),252,669,8149,136432,327015,https://cdn.myanimelist.net/images/anime/11/11636.jpg
58,Blue Gender,Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,26,"Oct 8, 1999 to Mar 31, 2000",fall 1999,Finished Airing,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min per ep,R+ - Mild Nudity,3873,2256,415,29649,78193,https://cdn.myanimelist.net/images/anime/1/2023.jpg
59,Chobits,Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,26,"Apr 3, 2002 to Sep 25, 2002",spring 2002,Finished Airing,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min per ep,PG-13 - Teens 13 or older,2080,441,3824,249019,469408,https://cdn.myanimelist.net/images/anime/4/24648.jpg
60,Chrno Crusade,Chrono Crusade,7.62,"Action, Romance, Supernatural",TV,24,"Nov 25, 2003 to Jun 10, 2004",fall 2003,Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,23 min per ep,R - 17+ (violence & profanity),1322,1010,1939,102723,221814,https://cdn.myanimelist.net/images/anime/13/14141.jpg
61,D.N.Angel,D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",TV,26,"Apr 3, 2003 to Sep 25, 2003",spring 2003,Finished Airing,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min per ep,PG-13 - Teens 13 or older,3180,1211,1257,98061,182259,https://cdn.myanimelist.net/images/anime/1126/98904.jpg
62,D.C.: Da Capo,D.C.~Da Capo~,6.72,"Drama, Romance",TV,26,"Jul 5, 2003 to Dec 27, 2003",summer 2003,Finished Airing,"Lantis, King Records",UNKNOWN,"feel., Zexcs",Visual novel,24 min per ep,PG-13 - Teens 13 or older,5215,2320,194,30349,74844,https://cdn.myanimelist.net/images/anime/4/73936.jpg
63,DearS,DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",TV,12,"Jul 11, 2004 to Sep 26, 2004",summer 2004,Finished Airing,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min per ep,R+ - Mild Nudity,6027,1460,346,78611,145533,https://cdn.myanimelist.net/images/anime/1207/98872.jpg
64,Rozen Maiden,Rozen Maiden,7.41,"Action, Comedy, Drama",TV,12,"Oct 8, 2004 to Dec 24, 2004",fall 2004,Finished Airing,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min per ep,PG-13 - Teens 13 or older,2053,1120,1936,95684,199570,https://cdn.myanimelist.net/images/anime/1424/108431.jpg
65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",TV,12,"Oct 21, 2005 to Jan 27, 2006",fall 2005,Finished Airing,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min per ep,PG-13 - Teens 13 or older,1340,1898,450,57969,102972,https://cdn.myanimelist.net/images/anime/4/10242.jpg
